order_id,customer_id,order_timestamp,order_status,sales_channel,currency
O000001,C0082,2026-06-29T16:38:07Z,COMPLETED,WEB,EUR
O000002,C0073,2026-06-27T07:31:21Z,CANCELLED,MOBILE,EUR
O000003,C0018,2026-02-21T10:25:51Z,COMPLETED,STORE,EUR
O000004,C0012,2026-04-06T19:57:01Z,COMPLETED,WEB,EUR
O000005,C0077,2026-03-16T02:28:29Z,PENDING,STORE,EUR
O000006,C0056,2026-02-26T23:48:35Z,COMPLETED,WEB,EUR
O000007,C0020,2026-02-08T14:59:34Z,COMPLETED,WEB,EUR
O000008,C0015,2026-01-04T18:46:05Z,CANCELLED,MOBILE,EUR
O000009,C0009,2026-04-05T08:52:46Z,PENDING,STORE,EUR
O000010,C0078,2026-04-13T11:08:17Z,COMPLETED,WEB,EUR
O000011,C0067,2026-06-24T16:30:19Z,COMPLETED,WEB,EUR
O000012,C0029,2026-04-25T06:19:46Z,COMPLETED,STORE,EUR
O000013,C0043,2026-06-16T22:11:28Z,COMPLETED,WEB,EUR
O000014,C0061,2026-06-02T08:35:29Z,COMPLETED,WEB,EUR
O000015,C0053,2026-03-24T06:01:10Z,COMPLETED,STORE,EUR
O000016,C0094,2026-03-20T04:21:04Z,COMPLETED,WEB,EUR
O000017,C0060,2026-02-24T02:06:52Z,COMPLETED,WEB,EUR
O000018,C0052,2026-02-11T12:08:04Z,CANCELLED,WEB,EUR
O000019,C0008,2026-02-12T06:33:34Z,COMPLETED,STORE,EUR
O000020,C0075,2026-01-10T17:40:48Z,COMPLETED,STORE,EUR
O000021,C0087,2026-01-14T04:43:14Z,CANCELLED,MOBILE,EUR
O000022,C0006,2026-04-26T10:39:36Z,COMPLETED,MOBILE,EUR
O000023,C0039,2026-05-06T08:15:06Z,COMPLETED,WEB,EUR
O000024,C0010,2026-01-20T09:56:47Z,COMPLETED,STORE,EUR
O000025,C0039,2026-05-17T14:44:01Z,COMPLETED,STORE,EUR
O000026,C0085,2026-06-30T22:17:52Z,COMPLETED,WEB,EUR
O000027,C0027,2026-03-08T13:56:16Z,COMPLETED,MOBILE,EUR
O000028,C0057,2026-05-24T22:23:11Z,COMPLETED,MOBILE,EUR
O000029,C0020,2026-06-25T12:36:44Z,COMPLETED,MOBILE,EUR
O000030,C0046,2026-06-24T13:17:32Z,COMPLETED,WEB,EUR
O000031,C0096,2026-05-01T12:29:32Z,COMPLETED,WEB,EUR
O000032,C0086,2026-06-05T18:41:12Z,CANCELLED,WEB,EUR
O000033,C0040,2026-03-09T21:31:34Z,COMPLETED,WEB,EUR
O000034,C0009,2026-06-17T20:10:36Z,PENDING,MOBILE,EUR
O000035,C0034,2026-04-23T17:44:39Z,COMPLETED,STORE,EUR
O000036,C0056,2026-05-18T15:10:43Z,COMPLETED,STORE,EUR
O000037,C0085,2026-03-02T22:57:10Z,COMPLETED,STORE,EUR
O000038,C0025,2026-01-25T17:12:14Z,COMPLETED,MOBILE,EUR
O000039,C0037,2026-03-01T00:09:35Z,COMPLETED,STORE,EUR
O000040,C0085,2026-04-11T02:10:49Z,COMPLETED,MOBILE,EUR
O000041,C0029,2026-03-02T06:39:34Z,COMPLETED,WEB,EUR
O000042,C0099,2026-04-29T16:44:35Z,COMPLETED,MOBILE,EUR
O000043,C0089,2026-05-08T09:27:06Z,COMPLETED,WEB,EUR
O000044,C0068,2026-05-10T15:08:15Z,PENDING,STORE,EUR
O000045,C0061,2026-06-17T06:51:26Z,COMPLETED,WEB,EUR
O000046,C0043,2026-02-22T18:17:03Z,COMPLETED,STORE,EUR
O000047,C0089,2026-03-16T09:04:25Z,COMPLETED,WEB,EUR
O000048,C0060,2026-04-16T08:45:04Z,COMPLETED,WEB,EUR
O000049,C0054,2026-06-15T17:21:20Z,COMPLETED,STORE,EUR
O000050,C0044,2026-03-17T12:12:21Z,COMPLETED,MOBILE,EUR
O000051,C0073,2026-04-25T22:25:12Z,COMPLETED,WEB,EUR
O000052,C0097,2026-02-24T00:46:11Z,PENDING,MOBILE,EUR
O000053,C0097,2026-01-08T19:36:59Z,COMPLETED,WEB,EUR
O000054,C0015,2026-05-10T23:54:15Z,COMPLETED,WEB,EUR
O000055,C0004,2026-04-23T08:51:58Z,CANCELLED,STORE,EUR
O000056,C0073,2026-06-04T14:41:15Z,COMPLETED,MOBILE,EUR
O000057,C0059,2026-06-23T03:02:26Z,COMPLETED,MOBILE,EUR
O000058,C0056,2026-04-01T06:28:07Z,COMPLETED,STORE,EUR
O000059,C0049,2026-05-10T17:59:02Z,COMPLETED,MOBILE,EUR
O000060,C0036,2026-06-20T21:35:51Z,COMPLETED,STORE,EUR
O000061,C0061,2026-05-15T02:28:22Z,COMPLETED,MOBILE,EUR
O000062,C0045,2026-04-14T02:16:31Z,COMPLETED,STORE,EUR
O000063,C0041,2026-02-07T09:30:28Z,COMPLETED,STORE,EUR
O000064,C0037,2026-04-26T21:14:47Z,PENDING,WEB,EUR
O000065,C0071,2026-01-11T14:06:34Z,COMPLETED,WEB,EUR
O000066,C0009,2026-01-23T03:41:04Z,COMPLETED,WEB,EUR
O000067,C0011,2026-02-28T23:58:34Z,PENDING,WEB,EUR
O000068,C0008,2026-05-01T14:11:49Z,COMPLETED,STORE,EUR
O000069,C0034,2026-02-10T23:26:55Z,COMPLETED,WEB,EUR
O000070,C0089,2026-03-29T11:29:57Z,COMPLETED,MOBILE,EUR
O000071,C0090,2026-02-24T21:33:47Z,CANCELLED,WEB,EUR
O000072,C0070,2026-01-23T06:53:46Z,COMPLETED,WEB,EUR
O000073,C0016,2026-03-27T06:36:12Z,COMPLETED,MOBILE,EUR
O000074,C0004,2026-02-18T14:47:56Z,COMPLETED,STORE,EUR
O000075,C0098,2026-01-08T19:29:35Z,COMPLETED,MOBILE,EUR
O000076,C0021,2026-01-21T07:28:14Z,COMPLETED,STORE,EUR
O000077,C0052,2026-05-31T00:20:03Z,CANCELLED,WEB,EUR
O000078,C0017,2026-04-17T15:32:56Z,CANCELLED,MOBILE,EUR
O000079,C0029,2026-01-19T02:23:10Z,PENDING,WEB,EUR
O000080,C0019,2026-04-18T01:04:53Z,COMPLETED,STORE,EUR
O000081,C0001,2026-06-09T08:02:15Z,COMPLETED,MOBILE,EUR
O000082,C0031,2026-05-16T10:34:41Z,COMPLETED,WEB,EUR
O000083,C0013,2026-03-06T11:12:26Z,CANCELLED,MOBILE,EUR
O000084,C0019,2026-05-21T06:49:56Z,COMPLETED,STORE,EUR
O000085,C0084,2026-03-19T04:24:23Z,COMPLETED,MOBILE,EUR
O000086,C0012,2026-05-26T00:11:00Z,COMPLETED,WEB,EUR
O000087,C0004,2026-02-28T03:36:47Z,COMPLETED,WEB,EUR
O000088,C0011,2026-02-03T23:52:56Z,COMPLETED,MOBILE,EUR
O000089,C0059,2026-02-19T07:37:12Z,COMPLETED,WEB,EUR
O000090,C0059,2026-02-18T13:32:31Z,COMPLETED,WEB,EUR
O000091,C0073,2026-01-02T13:44:21Z,CANCELLED,STORE,EUR
O000092,C0030,2026-05-31T15:12:53Z,COMPLETED,MOBILE,EUR
O000093,C0081,2026-01-19T20:49:00Z,COMPLETED,MOBILE,EUR
O000094,C0070,2026-06-02T17:24:55Z,CANCELLED,MOBILE,EUR
O000095,C0097,2026-01-28T07:58:30Z,PENDING,STORE,EUR
O000096,C0082,2026-03-15T23:42:27Z,CANCELLED,WEB,EUR
O000097,C0083,2026-02-12T23:38:45Z,COMPLETED,MOBILE,EUR
O000098,C0031,2026-01-19T20:56:51Z,CANCELLED,WEB,EUR
O000099,C0053,2026-04-30T13:08:50Z,CANCELLED,MOBILE,EUR
O000100,C0057,2026-03-28T02:18:53Z,PENDING,MOBILE,EUR
O000101,C0083,2026-06-25T02:12:32Z,COMPLETED,MOBILE,EUR
O000102,C0043,2026-01-10T19:42:46Z,COMPLETED,WEB,EUR
O000103,C0030,2026-06-07T21:06:05Z,COMPLETED,WEB,EUR
